Indicators,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4
01. Labor Productivity,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..A. GDP to Total Employment,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"....Levels (in pesos, constant)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"......Total (in pesos, constant)",59614.8,63574.2,63094.3,68150.7,60284.4,61261.4,60195.5,65022.6,59208.5,61343.2,60117.2,67617.9,61093.6,63547.1,62713.9,68611.9,62515.9,65893.2,64145.6,71895,65476.1,68136.8,65122.7,72696.7,66851.4,70415,66676.5,76336,68496.9,73708.5,70881.8,80128.6,71043.8,77619.9,72006.6,80591.8,70649.8,75792.9,70807.2,79845.8,72708.3,80872.2,74191.4,82522.7,75585.8,80545.4,74751.3,81272.5,77790.6,83248.7,79262.1,89688.8,82492.8,89553,83270.7,94323.7,90836.7,92851.5,87576.7,97802.7,90526.8,98408.2,91037.8,102230.4,91491.5,101814.5,94069,104290.3,100641.4,110186.6,103125,111586.6,100959.7,115425,108174,119334.8,109061.1,119366.4,109957.2,123612.5,104219.5,122462.8,100129.1,121134.8,98667.4,104654.4,102551.4,115176.4,101928.4,108258.9,100127.2,114754.2,101726.9,107587.7,108010.6,119311.8
"......Agriculture, Forestry and Fishing (in pesos, constant)",24716.6,25892.8,23306,30465.3,26152.5,24439.4,21777.3,29426,25492.2,24214.4,21988.7,31169.1,26673.3,24475.6,23692.7,31725.7,28259.9,25654.2,24292.9,32081.9,27661.7,26818.8,24231,32989.1,28292.4,28008.7,25801.2,32947.1,29883.6,28224.3,28041.3,35278.9,30873.3,29046.7,27738.4,35460.5,31159.2,28572.6,27700.9,35506.6,31352.6,29470.5,27191.8,37169.3,32657.3,30213,28585.7,34767.9,32233.4,29546.3,31193,39085.1,35553.6,31510.6,31296.7,41548,38113.1,32540,31223.2,42747.9,36916.2,33792,33060.2,43664,37278.6,36796.9,33643.8,43031.1,42638.3,38672.7,38348.4,50182.5,40343.5,41547.9,41430.8,53120.5,50034.3,45203.3,41114.9,55000.7,45685.7,47484.3,37258.5,53245.4,41370.6,38838.1,39141.2,46841.5,40646.2,38746.9,37329.9,47780.7,39600.8,36969.2,38894.6,45500.4
"......Industry (in pesos, constant)",119062.3,120205.4,128915.7,133300.7,113112.8,116426.1,122830.9,128052.2,119776.2,121783.4,124650.9,136019.2,126334.4,126523.3,125045.7,131607.7,120568,125759,126380,142205.2,128002.4,131628.4,130061.6,148439.9,134897.5,135497.6,134639.2,155122.5,138735,145360.1,134646.1,155452.5,141572,158732.8,149148.9,165144,143768.3,154929.1,137275.4,164646.5,146458.1,162663.4,145043.2,168437.5,158806.7,155940.6,136628.8,165934.9,159441.6,158148.4,140478.4,179730.6,167023.2,167232.3,147504.1,182203.4,175811.6,173247.4,155511.8,190746.4,176083.4,181530.1,155977.7,195726.4,169368.7,171382.5,151412.9,187151.9,178571.2,182408.7,154911.6,190874.4,172917.7,181250.2,161498.7,195566.8,168240,186527.2,167787.4,203769.8,167557.2,205333.7,143187.9,202868.9,159991.9,177111.9,146287.5,203539.7,171679.2,175281.6,150090.2,195962.6,179825.8,185419.9,156930.1,204754.2
"......Services (in pesos, constant)",68215.5,72479.9,71009.3,76102.6,68100.4,71507.7,69561.8,72475.3,65791.3,69572.9,68638.3,74491.4,67094.2,72557.6,70416.9,76619.3,68364.6,75053.9,73936.6,80258.3,73212.8,75751.5,75787.1,79866.5,74740.9,79179.6,75433.7,85140.6,74394.4,83527.6,80602.1,90049.8,78277.7,88001.3,80082.4,87991.3,77047.1,85957.4,79812.7,161567.7,77772.4,88649.8,84790.1,87533.1,79529.9,90436.3,85589.4,87402,83111.3,94904.9,88970.8,94791,84746.5,100357.1,94560.2,100268.2,95210.4,102769.8,99020.1,102390.1,95179.4,108019,100860.9,106639.6,94064,108862.3,105466.1,110094,102819.5,119820.4,114618.6,113378.3,105907.9,123846.4,116952.6,121744.3,110632.6,124605.6,118213.4,124162.6,106521.5,131786.2,115495.7,124037.2,103091.8,109293.8,114001.4,117625.4,105050.8,114465.2,109263.3,115885.5,103779.3,112669.7,119145.3,123883.8
....Growth Rates,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......Total (in percent),..,..,..,..,1.1,-3.6,-4.6,-4.6,-1.8,0.1,-0.1,4,3.2,3.6,4.3,1.5,2.3,3.7,2.3,4.8,4.7,3.4,1.5,1.1,2.1,3.3,2.4,5,2.5,4.7,6.3,5,3.7,5.3,1.6,0.6,-0.6,-2.4,-1.7,-0.9,2.9,6.7,4.8,3.4,4,-0.4,0.8,-1.5,2.9,3.4,6,10.4,6,7.6,5.1,5.2,10.1,3.7,5.2,3.7,-0.3,6,4,4.5,1.1,3.5,3.3,2,10,8.2,9.6,7,0.3,4.8,4.9,6.9,8,3.4,1.6,3.6,-4.4,2.6,-8.9,-2,-5.3,-14.5,2.4,-4.9,3.3,3.4,-2.4,-0.4,-0.2,-0.6,7.9,4
"......Agriculture, Forestry and Fishing (in percent)",..,..,..,..,5.8,-5.6,-6.6,-3.4,-2.5,-0.9,1,5.9,4.6,1.1,7.7,1.8,5.9,4.8,2.5,1.1,-2.1,4.5,-0.3,2.8,2.3,4.4,6.5,-0.1,5.6,0.8,8.7,7.1,3.3,2.9,-1.1,0.5,0.9,-1.6,-0.1,0.1,0.6,3.1,-1.8,4.7,4.2,2.5,5.1,-6.5,-1.3,-2.2,9.1,12.4,10.3,6.6,0.3,6.3,7.2,3.3,-0.2,2.9,-3.1,3.8,5.9,2.1,1,8.9,1.8,-1.4,14.4,5.1,14,16.6,-5.4,7.4,8,5.9,24,8.8,-0.8,3.5,-8.7,5,-9.4,-3.2,-9.4,-18.2,5.1,-12,-1.8,-0.2,-4.6,2,-2.6,-4.6,4.2,-4.8
